scenario,history_stratum,prediction_type,horizon_years,bin_index,n_landmarks,n_patients,prediction_min,prediction_max,patient_balanced_mean_prediction,weighted_km_observed_risk,calibration_difference
no_ADAS13,all,cross_fitted_intercept_slope,1,8,2630,2070,0.08983405550369528,0.131745374786584,0.10844650618081166,0.12824258027119062,-0.019796074090378965
no_ADAS13,all,cross_fitted_intercept_slope,1,9,2631,1831,0.1317947882716688,0.6051219304201475,0.17616313652129653,0.1487668254619472,0.027396311059349338
no_ADAS13,all,cross_fitted_intercept_slope,2,0,2630,1481,0.05598316299235817,0.08686131428017008,0.07148589687602541,0.03973901808992697,0.03174687878609844
no_ADAS13,all,cross_fitted_intercept_slope,2,1,2630,1815,0.0868632067175571,0.1181720319824765,0.10280958653285203,0.08073562172747206,0.022073964805379973
no_ADAS13,all,cross_fitted_intercept_slope,2,2,2630,1994,0.11817244778135672,0.15129683483741763,0.1351529826017755,0.10820343029926327,0.026949552302512225
no_ADAS13,all,cross_fitted_intercept_slope,2,3,2631,2180,0.15130427349643827,0.18240899999820226,0.16696659854966123,0.11272477667354852,0.054241821876112706
no_ADAS13,all,cross_fitted_intercept_slope,2,4,2630,2264,0.18241863761299537,0.2186867259681582,0.19967089050595704,0.15780319454851666,0.04186769595744039
no_ADAS13,all,cross_fitted_intercept_slope,2,5,2630,2262,0.2187102410834133,0.2672395310401937,0.2413927413473244,0.24907260113110363,-0.007679859783779219
no_ADAS13,all,cross_fitted_intercept_slope,2,6,2631,2309,0.2672423994762285,0.33504718489591867,0.29902409843318084,0.3006029604154602,-0.001578861982279356
no_ADAS13,all,cross_fitted_intercept_slope,2,7,2630,2262,0.335050872115934,0.4116686538899311,0.3721996566319486,0.3152761873886468,0.05692346924330177
no_ADAS13,all,cross_fitted_intercept_slope,2,8,2630,2108,0.41170929637357845,0.524463716340104,0.4640584341102194,0.43556296299961716,0.028495471110602244
no_ADAS13,all,cross_fitted_intercept_slope,2,9,2631,1863,0.5245092741081177,0.9936159874820805,0.6288594603759641,0.5511465800377022,0.07771288033826185
no_ADAS13,all,cross_fitted_intercept_slope,3,0,2630,1478,0.09255861084543882,0.14683074783576033,0.12045278680869198,0.07263740723966239,0.04781537956902959
no_ADAS13,all,cross_fitted_intercept_slope,3,1,2630,1860,0.1468850369012803,0.1977560652349375,0.17294304983159006,0.1534159375676334,0.019527112263956675
no_ADAS13,all,cross_fitted_intercept_slope,3,2,2630,2061,0.19775892934513484,0.24678337064659617,0.22242616306411753,0.16811781069574117,0.05430835236837636
no_ADAS13,all,cross_fitted_intercept_slope,3,3,2631,2160,0.24684233237412834,0.2964788650357847,0.27113079480944186,0.207461914937636,0.06366887987180586
no_ADAS13,all,cross_fitted_intercept_slope,3,4,2630,2256,0.2964918266550739,0.34945411181258235,0.32278430188359514,0.25820767868442285,0.06457662319917229
no_ADAS13,all,cross_fitted_intercept_slope,3,5,2630,2269,0.34947339601151717,0.4141822404274452,0.38110511091906407,0.34175377745650315,0.03935133346256092
no_ADAS13,all,cross_fitted_intercept_slope,3,6,2631,2302,0.41419968942860297,0.4949010806501276,0.45276043471432603,0.4130154093167976,0.039745025397528444
no_ADAS13,all,cross_fitted_intercept_slope,3,7,2630,2178,0.4949284461444341,0.5965735350856495,0.5445175547162223,0.5195305316303005,0.024987023085921822
no_ADAS13,all,cross_fitted_intercept_slope,3,8,2630,2051,0.5965822640746468,0.7174000369733183,0.6552749937119461,0.6329985474332214,0.022276446278724715
no_ADAS13,all,cross_fitted_intercept_slope,3,9,2631,1904,0.7174739766108614,0.9999206454626234,0.8100891035714788,0.7365425686852933,0.07354653488618546
no_ADAS13,all,cross_fitted_intercept_slope,5,0,2630,1495,0.13948854353823203,0.26611468508124725,0.22580656816835215,0.13410843824691177,0.09169812992144039
no_ADAS13,all,cross_fitted_intercept_slope,5,1,2630,1925,0.266128622025291,0.3380186281319859,0.3035201784280506,0.25216113484723635,0.05135904358081428
no_ADAS13,all,cross_fitted_intercept_slope,5,2,2630,2106,0.3380423623562562,0.4014685826112169,0.37045546089459,0.2780331029263591,0.09242235796823095
no_ADAS13,all,cross_fitted_intercept_slope,5,3,2631,2160,0.4014997594931038,0.46276744817497206,0.43240493171404193,0.3562251869724622,0.07617974474157974
no_ADAS13,all,cross_fitted_intercept_slope,5,4,2630,2222,0.46276802295606,0.5288724296594363,0.4955331157473227,0.4120367814231609,0.08349633432416181
no_ADAS13,all,cross_fitted_intercept_slope,5,5,2630,2219,0.5288776986182662,0.6035701489427172,0.5649123060105311,0.504722597926442,0.06018970808408908
