model,analysis,scenario,history_stratum,prediction_type,horizon_years,n_patients,n_landmarks,n_cases,n_controls,n_early_censored,n_evaluable,unweighted_evaluable_event_fraction,patient_balanced_evaluable_prevalence,ipcw_weighted_prevalence,weighted_km_observed_risk,ipcw_weighted_mean_prediction,calibration_gap_prediction_minus_ipcw_prevalence,absolute_calibration_gap,calibration_intercept,calibration_intercept_status,calibration_model_intercept,calibration_slope,calibration_slope_status,auroc,auprc,brier,censoring_survival_at_horizon,max_ipcw_factor
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,cross_fitted_intercept_slope,1,8817,8817,334,8045,438,8379,0.03986155865855114,0.060787850363645105,0.058441281723819384,0.05843188651969611,0.06065928611583467,0.002218004392015284,0.002218004392015284,-0.04111007758749462,offset_logistic,-0.07151735771496724,0.9881070744674539,weighted_logistic,0.7021711125960433,0.12240264178489021,0.05381467840766665,0.9240460579924332,1.0821971387146903
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,cross_fitted_intercept_slope,2,8817,8817,1371,5264,2182,6635,0.20663149962321026,0.3406016773673001,0.27635353674791685,0.2762853650515692,0.317100364893628,0.04074682814571112,0.04074682814571112,-0.22035221061955496,offset_logistic,-0.20396430268316343,1.024155532431724,weighted_logistic,0.7127782145801382,0.4870523253416263,0.1781964299912065,0.5884633945944153,1.6993410451455977
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,cross_fitted_intercept_slope,3,8817,8817,2008,3493,3316,5501,0.36502454099254683,0.5403757043582045,0.4026294737276684,0.40251220104399255,0.45836083998782073,0.05573136626015235,0.05573136626015235,-0.2712809150062213,offset_logistic,-0.2602835003920186,1.071815139952039,weighted_logistic,0.7528353107362646,0.6749734484776757,0.1982575753318976,0.4018598950319937,2.4884294560430966
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,cross_fitted_intercept_slope,5,8817,8817,2580,1809,4428,4389,0.5878332194121668,0.7483119437538667,0.5288130836261417,0.5286670343392016,0.5996069604121169,0.07079387678597526,0.07079387678597526,-0.35419381711601583,offset_logistic,-0.3875666337766629,1.1033275571038357,weighted_logistic_fallback,0.7765575351954582,0.8019736094996628,0.1981858591321226,0.22946936856814706,4.357880122474923
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,raw_zero_shot,1,7791,17486,767,15403,1316,16170,0.04743351886209029,0.06208876934514402,0.059123131394807876,0.05911410699224584,0.07307933727203167,0.013956205877223793,0.013956205877223793,-0.25765794834994077,offset_logistic,-1.0859744340711213,0.5984301856027925,weighted_logistic,0.7334679807775497,0.1279222963078696,0.056442422436888066,0.8960047645974749,1.1160654937468377
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,raw_zero_shot,2,7791,17486,2550,10485,4451,13035,0.1956271576524741,0.2671805036939888,0.2208909863305232,0.22084726619793582,0.19275035207011082,-0.028140634260412384,0.028140634260412384,0.23590490867700475,offset_logistic,-0.14720812605422834,0.6873184384110932,weighted_logistic,0.7625982394130384,0.4429572684084842,0.15157112997344455,0.628234805634162,1.5917615372974525
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,raw_zero_shot,3,7791,17486,3684,7199,6603,10883,0.3385096021317651,0.4370786265204294,0.3297251982822425,0.3296528052034555,0.2870872803709594,-0.04263791791128313,0.04263791791128313,0.29099586535891747,offset_logistic,0.05783753136347009,0.7345409461792614,weighted_logistic_fallback,0.7725371495084534,0.60444621444054,0.18259188947790034,0.45572944235533414,2.1942843868759656
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,raw_zero_shot,5,7791,17486,4877,3550,9059,8427,0.5787350183932598,0.6738544855842861,0.4680595025676202,0.467955670512224,0.41760726496397976,-0.050452237603640426,0.050452237603640426,0.31663749077481346,offset_logistic,0.17525987104745008,0.7290509342900754,weighted_logistic,0.7860561601109212,0.7445932075008866,0.1966543305946637,0.2608007381381172,3.8343449759348878
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,cross_fitted_intercept_only,1,7791,17486,767,15403,1316,16170,0.04743351886209029,0.06208876934514402,0.059123131394807876,0.05911410699224584,0.06193606342421874,0.0028129320294108667,0.0028129320294108667,-0.055684350039527264,offset_logistic,-0.9683659177795684,0.5970908522345864,weighted_logistic,0.7332044468328889,0.12795182199259392,0.055214579999150276,0.8960047645974749,1.1160654937468377
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,cross_fitted_intercept_only,2,7791,17486,2550,10485,4451,13035,0.1956271576524741,0.2671805036939888,0.2208909863305232,0.22084726619793582,0.23765075948219327,0.01675977315167007,0.01675977315167007,-0.13169659355463373,offset_logistic,-0.39658294286729145,0.6914201128674478,weighted_logistic,0.7624315840233913,0.44165963099357664,0.15292721374701804,0.628234805634162,1.5917615372974525
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,cross_fitted_intercept_only,3,7791,17486,3684,7199,6603,10883,0.3385096021317651,0.4370786265204294,0.3297251982822425,0.3296528052034555,0.34604307037573306,0.01631787209349056,0.01631787209349056,-0.10831413688114333,offset_logistic,-0.24638562065569156,0.7128492755621921,weighted_logistic_fallback,0.7723330448506738,0.603542864197282,0.18195159193742907,0.45572944235533414,2.1942843868759656
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,cross_fitted_intercept_only,5,7791,17486,4877,3550,9059,8427,0.5787350183932598,0.6738544855842861,0.4680595025676202,0.467955670512224,0.4944124049315927,0.02635290236397253,0.02635290236397253,-0.16645558677486869,offset_logistic,-0.18314127062978638,0.6821007116883732,weighted_logistic_fallback,0.7859870935757767,0.7442334072154795,0.19308769413025478,0.2608007381381172,3.8343449759348878
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,cross_fitted_intercept_slope,1,7791,17486,767,15403,1316,16170,0.04743351886209029,0.06208876934514402,0.059123131394807876,0.05911410699224584,0.0619871933477157,0.002864061952907823,0.002864061952907823,-0.05265110259323861,offset_logistic,-0.07512549372472824,0.9907430627480096,weighted_logistic_fallback,0.7322088317617319,0.1272885545162068,0.05362603945519368,0.8960047645974749,1.1160654937468377
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,cross_fitted_intercept_slope,2,7791,17486,2550,10485,4451,13035,0.1956271576524741,0.2671805036939888,0.2208909863305232,0.22084726619793582,0.24471766677087944,0.02382668044035624,0.02382668044035624,-0.15870604191068496,offset_logistic,-0.16211427607559256,0.9961870428704885,weighted_logistic,0.7621741355926916,0.44049670390029066,0.14794561794508815,0.628234805634162,1.5917615372974525
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,cross_fitted_intercept_slope,3,7791,17486,3684,7199,6603,10883,0.3385096021317651,0.4370786265204294,0.3297251982822425,0.3296528052034555,0.36145187894522046,0.03172668066297796,0.03172668066297796,-0.1764503146576146,offset_logistic,-0.17643324731176505,1.000040188485562,weighted_logistic,0.7721371240777323,0.6031095451086501,0.17818468759005018,0.45572944235533414,2.1942843868759656
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,LongitudinalTransformer,cross_fitted_intercept_slope,5,7791,17486,4877,3550,9059,8427,0.5787350183932598,0.6738544855842861,0.4680595025676202,0.467955670512224,0.519952140673311,0.05189263810569078,0.05189263810569078,-0.2705773289019756,offset_logistic,-0.27037379497652325,0.9978238716212915,weighted_logistic_fallback,0.785468069964367,0.7440303782981617,0.1917875446078571,0.2608007381381172,3.8343449759348878
